,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Male,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65plus,Edu_Doctorate,Edu_Left_16,Edu_Left_17,Edu_Left_18,Edu_Left_Before_16,Edu_Masters,Edu_Profess_Diploma,Edu_Some_College,Country_Canada,Country_Ireland,Country_New_Zealand,Country_Other,Country_UK,Country_USA,Race_Black,Race_Mixed_Black_Asian,Race_Mixed_White_Asian,Race_Mixed_White_Black,Race_Other,Race_White
0,39.0,36.0,42.0,37.0,42.0,-0.21712,-1.18084,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
1,29.0,52.0,55.0,48.0,41.0,-0.71126,-0.21575,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,31.0,45.0,40.0,32.0,34.0,-1.37983,0.40148,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,34.0,34.0,46.0,47.0,46.0,-1.37983,-1.18084,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,43.0,28.0,43.0,41.0,50.0,-0.21712,-0.21575,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,29.0,38.0,35.0,55.0,52.0,-1.37983,-1.54858,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,31.0,32.0,43.0,41.0,48.0,-0.21712,0.07987,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,24.0,52.0,40.0,41.0,52.0,0.19268,-0.52593,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,42.0,55.0,39.0,48.0,49.0,-1.37983,-1.54858,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
9,33.0,40.0,36.0,47.0,43.0,-1.37983,-0.84637,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10,26.0,45.0,38.0,38.0,53.0,0.19268,0.07987,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,24.0,40.0,47.0,30.0,38.0,0.52975,1.2247,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
12,56.0,41.0,49.0,32.0,36.0,1.29221,0.07987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13,28.0,45.0,46.0,49.0,59.0,-0.71126,-0.84637,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
14,27.0,49.0,49.0,39.0,52.0,1.29221,0.7654,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
15,19.0,29.0,35.0,36.0,49.0,-0.71126,-0.52593,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,22.0,34.0,34.0,45.0,47.0,-0.21712,-2.07848,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
17,41.0,31.0,44.0,40.0,31.0,-1.37983,-0.84637,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,49.0,39.0,45.0,30.0,30.0,-0.71126,-0.21575,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,32.0,27.0,29.0,30.0,47.0,-1.37983,-2.07848,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
20,28.0,45.0,51.0,53.0,33.0,0.19268,-0.21575,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
21,25.0,43.0,38.0,39.0,53.0,-0.21712,-1.18084,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,40.0,33.0,40.0,50.0,35.0,-0.71126,0.07987,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,51.0,16.0,37.0,45.0,34.0,-1.37983,-1.54858,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,34.0,44.0,54.0,48.0,51.0,-0.21712,-0.52593,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25,28.0,37.0,37.0,49.0,42.0,-0.21712,0.40148,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
26,35.0,28.0,24.0,38.0,46.0,0.19268,-1.54858,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
