,Male,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65plus,Edu_Doctorate,Edu_Left_16,Edu_Left_17,Edu_Left_18,Edu_Left_Before_16,Edu_Masters,Edu_Profess_Diploma,Edu_Some_College,Country_Canada,Country_Ireland,Country_New_Zealand,Country_Other,Country_UK,Country_USA,Race_Black,Race_Mixed_Black_Asian,Race_Mixed_White_Asian,Race_Mixed_White_Black,Race_Other,Race_White,Alcohol_Last_Day,Alcohol_Last_Week,Alcohol_Last_Month,Alcohol_Last_Year,Alcohol_Last_Decade,Alcohol_Over_Decade,Alcohol_Never_Used,Amphet_Last_Day,Amphet_Last_Week,Amphet_Last_Month,Amphet_Last_Year,Amphet_Last_Decade,Amphet_Over_Decade,Amphet_Never_Used,Amyl_Last_Day,Amyl_Last_Week,Amyl_Last_Month,Amyl_Last_Year,Amyl_Last_Decade,Amyl_Over_Decade,Amyl_Never_Used,Benzos_Last_Day,Benzos_Last_Week,Benzos_Last_Month,Benzos_Last_Year,Benzos_Last_Decade,Benzos_Over_Decade,Benzos_Never_Used,Caff_Last_Day,Caff_Last_Week,Caff_Last_Month,Caff_Last_Year,Caff_Last_Decade,Caff_Over_Decade,Caff_Never_Used,Cannabis_Last_Day,Cannabis_Last_Week,Cannabis_Last_Month,Cannabis_Last_Year,Cannabis_Last_Decade,Cannabis_Over_Decade,Cannabis_Never_Used,Choc_Last_Day,Choc_Last_Week,Choc_Last_Month,Choc_Last_Year,Choc_Last_Decade,Choc_Over_Decade,Choc_Never_Used,Coke_Last_Day,Coke_Last_Week,Coke_Last_Month,Coke_Last_Year,Coke_Last_Decade,Coke_Over_Decade,Coke_Never_Used,Crack_Last_Day,Crack_Last_Week,Crack_Last_Month,Crack_Last_Year,Crack_Last_Decade,Crack_Over_Decade,Crack_Never_Used,Ecstasy_Last_Day,Ecstasy_Last_Week,Ecstasy_Last_Month,Ecstasy_Last_Year,Ecstasy_Last_Decade,Ecstasy_Over_Decade,Ecstasy_Never_Used,Heroin_Last_Day,Heroin_Last_Week,Heroin_Last_Month,Heroin_Last_Year,Heroin_Last_Decade,Heroin_Over_Decade,Heroin_Never_Used,Ketamine_Last_Day,Ketamine_Last_Week,Ketamine_Last_Month,Ketamine_Last_Year,Ketamine_Last_Decade,Ketamine_Over_Decade,Ketamine_Never_Used,Legalh_Last_Day,Legalh_Last_Week,Legalh_Last_Month,Legalh_Last_Year,Legalh_Last_Decade,Legalh_Over_Decade,Legalh_Never_Used,LSD_Last_Day,LSD_Last_Week,LSD_Last_Month,LSD_Last_Year,LSD_Last_Decade,LSD_Over_Decade,LSD_Never_Used,Mushrooms_Last_Day,Mushrooms_Last_Week,Mushrooms_Last_Month,Mushrooms_Last_Year,Mushrooms_Last_Decade,Mushrooms_Over_Decade,Mushrooms_Never_Used,Nicotine_Last_Day,Nicotine_Last_Week,Nicotine_Last_Month,Nicotine_Last_Year,Nicotine_Last_Decade,Nicotine_Over_Decade,Nicotine_Never_Used,Semer_Last_Day,Semer_Last_Week,Semer_Last_Month,Semer_Last_Year,Semer_Last_Decade,Semer_Over_Decade,Semer_Never_Used
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1
2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
9,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
