,sqft_basement,sqft_above,sqft_living,sqft_lot,sqft_living15,sqft_lot15,bedrooms,bathrooms,floors,view,grade,condition,age,age_renovated,waterfront,renovated,sale_month_02,sale_month_03,sale_month_04,sale_month_05,sale_month_06,sale_month_07,sale_month_08,sale_month_09,sale_month_10,sale_month_11,sale_month_12
0,0,1180,1180,5650,1340,5650,3,1.0,1.0,0,7,3,59,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
1,400,2170,2570,7242,1690,7639,3,2.25,2.0,0,7,3,63,23,0,1,0,0,0,0,0,0,0,0,0,0,1
2,0,770,770,10000,2720,8062,2,1.0,1.0,0,6,3,82,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
3,910,1050,1960,5000,1360,5000,4,3.0,1.0,0,7,5,49,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
4,0,1680,1680,8080,1800,7503,3,2.0,1.0,0,8,3,28,9999,0,0,1,0,0,0,0,0,0,0,0,0,0
5,1530,3890,5420,101930,4760,101930,4,4.5,1.0,0,11,3,13,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,1715,1715,6819,2238,6819,3,2.25,2.0,0,7,3,19,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,1060,1060,9711,1650,9711,3,1.5,1.0,0,7,3,52,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
8,730,1050,1780,7470,1780,8113,3,1.0,1.0,0,7,3,55,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,1890,1890,6560,2390,7570,3,2.5,2.0,0,7,3,12,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
10,1700,1860,3560,9796,2210,8925,3,2.5,1.0,0,8,3,50,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
11,300,860,1160,6000,1330,6000,2,1.0,1.0,0,7,4,72,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,1430,1430,19901,1780,12697,3,1.0,1.5,0,7,4,87,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
13,0,1370,1370,9680,1370,10208,3,1.75,1.0,0,7,4,37,9999,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,1810,1810,4850,1360,4850,5,2.0,1.5,0,7,3,115,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
15,970,1980,2950,5000,2140,4000,4,3.0,2.0,3,9,3,36,9999,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1890,1890,14040,1890,14018,3,2.0,2.0,0,7,3,20,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
17,0,1600,1600,4300,1610,4300,4,1.0,1.5,0,7,4,98,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,1200,1200,9850,1060,5095,2,1.0,1.0,0,7,4,93,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
19,0,1250,1250,9774,1280,8850,3,1.0,1.0,0,7,4,46,9999,0,0,0,0,1,0,0,0,0,0,0,0,0
20,760,860,1620,4980,1400,4980,4,1.75,1.0,0,7,4,67,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
21,720,2330,3050,44867,4110,20336,3,2.75,1.0,4,9,3,46,9999,0,0,0,0,0,0,0,0,1,0,0,0,0
22,0,2270,2270,6300,2240,7005,5,2.5,2.0,0,8,3,19,9999,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,1070,1070,9643,1220,8386,2,1.5,1.0,0,7,3,29,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,2450,2450,6500,2200,6865,3,2.25,2.0,0,8,4,29,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
25,0,1710,1710,4697,1030,4705,3,2.0,1.5,0,6,5,73,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
26,700,1750,2450,2691,1760,3573,3,1.75,2.0,0,8,3,99,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
27,0,1400,1400,1581,1860,3861,3,1.0,1.5,0,8,5,105,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
28,730,790,1520,6380,1520,6235,3,1.75,1.0,0,7,3,66,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
29,0,2570,2570,7173,2630,6026,4,2.5,2.0,0,8,3,10,9999,0,0,0,1,0,0,0,0,0,0,0,0,0
30,0,2320,2320,3980,2580,3980,3,2.5,2.0,0,8,3,11,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
31,0,1190,1190,1265,1390,1756,2,1.5,3.0,0,7,3,9,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
32,820,1510,2330,5000,1460,5000,4,1.75,1.5,0,7,4,85,9999,0,0,0,0,0,0,1,0,0,0,0,0,0
33,0,1090,1090,3000,1570,5080,3,1.0,1.5,0,8,4,85,9999,0,0,0,0,0,0,0,0,0,0,0,1,0
34,780,1280,2060,6659,2020,8720,4,2.75,1.0,0,7,3,33,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
35,790,1510,2300,3060,1590,3264,3,2.5,1.5,0,8,3,84,12,0,1,0,0,0,0,1,0,0,0,0,0,0
36,730,930,1660,34848,2160,11467,4,1.0,1.0,0,5,1,81,9999,0,0,0,0,0,1,0,0,0,0,0,0,0
37,0,2360,2360,6000,1730,4700,4,2.0,2.0,0,8,4,110,9999,0,0,0,0,0,0,0,0,0,0,0,0,1
