StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2.1_Id,Q2.1_Name,Q2.1_Size,Q2.1_Type,Q3.1,Q5.7,Q5.13,Q5.14,Q5.15,Q5.16,Q5.17,Q5.18,Q5.19,Q5.20,Q5.21,Q6.7,Q6.13,Q6.14,Q6.15,Q6.16,Q6.17,Q6.18,Q6.19,Q6.20,Q6.21,Q7.7,Q7.13,Q7.14,Q7.15,Q7.16,Q7.17,Q7.18,Q7.19,Q7.20,Q7.21,Q8.12,Q8.18,Q8.19,Q8.20,Q8.21,Q8.22,Q8.23,Q8.24,Q8.25,Q8.26,Q9.1,Q9.2,Q9.3_1,Q9.3_2,Q9.3_3,Q9.3_4,Q9.4,PROLIFIC_PID,dataset_name,bb_profile_1,bb_profile_2,int_profile_1,int_profile_2,first_model,bb_model,int_model
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University. If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life. Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions. If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known. The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Id","Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University. If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life. Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions. If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known. The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Name","Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University. If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life. Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions. If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known. The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Size","Consent Form for IRB-FY2021-5615



You have been invited to take part in a research study to learn more about how well professionals in various fields understand different types of artificial intelligence (AI) computing systems. This study will be conducted by Dr. Oded Nov, Department of Technology Management & Innovation, Tandon School of Engineering, New York University. If you agree to be in this study, you will be asked to do the following:

	First, you will be presented with an AI computer system and several details about how it works.
	Second, you will be asked several questions about the AI system, how it makes decisions, and how well you felt you understood the system.
	Third, you will be presented with a different AI computer system and several details about how it works.
	Fourth and lastly, you will be asked several questions about this second AI system, how it makes decisions, and how well you felt you understood the system.



Participation in this study will involve 15 minutes of your time.



There are no known risks associated with your participation in this research beyond those of everyday life. Although you will receive no direct benefits, this research may help the investigator understand the relationship between professionals in various fields and artificial intelligence (AI) systems better.



You will be paid $3.75 ($15/hr) for completing the survey, which contains 24 questions. If you withdraw before the end of the study, no partial payment will be given.



Confidentiality of your research records will be strictly maintained by keeping signed consent forms separate from the data to make sure your name and identity will not become known. The investigators will comply with industry-standard best practices to maintain the security of all information collected, such as using state-of-the-art tools (ex. Google Drive, Qualtrics), limiting access to data, and securing access to data using Two-Factor Authentication.



Participation in this study is voluntary. You may refuse to participate or withdraw at any time without penalty. For all questions in the survey, you have the right to skip or not answer any questions you prefer not to answer.



If there is anything about the study or your participation that is unclear or that you do not understand, if you have questions or wish to report a research-related problem, you may contact Dr. Oded Nov at (646) 997-3562 or onov@nyu.edu.



For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu.



You will receive a copy of this consent document to keep by email.



Agreement to Participate - Type",Please enter your Prolific ID here:,Would System Alpha classify the student as likely to pass or fail?,Select the attribute that was most important overall to System Alpha's prediction:,I believe I did well on the two questions about the systems' decision-making for particular students.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,Would System Beta classify the student as likely to pass or fail?,Select the attribute that was most important overall to System Beta's prediction:,I believe I did well on the two questions about the systems' decision-making for particular patients.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,Would System Delta classify the student as likely to pass or fail?,Select the attribute that was most important overall to System Delta's prediction:,I believe I did well on the two questions about the systems' decision-making for particular students.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,Would System Gamma classify the student as likely to pass or fail?,Select the attribute that was most important overall to System Gamma's prediction:,I believe I did well on the two questions about the systems' decision-making for particular students.,I found the system complicated.,I found the system confusing.,I found the system easy to understand.,I found the system hard to remember.,I found the system predictable.,I understood how the system works.,I understood the relationship between inputs and output.,How many years of experience do you have in the education field?,"What background knowledge do you have of data science, artificial intelligence, and/or machine learning?","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Predictive model","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Machine learning","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Data science","Have you ever used predictive models, data science, artificial intelligence, or machine learning in any form at all at work? - Artificial intelligence",Were you familiar with the two Portuguese high schools and the data described in the survey before you began the survey?,PROLIFIC_PID,dataset_name,bb_profile_1,bb_profile_2,int_profile_1,int_profile_2,first_model,bb_model,int_model
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID317_FILE_ID""}","{""ImportId"":""QID317_FILE_NAME""}","{""ImportId"":""QID317_FILE_SIZE""}","{""ImportId"":""QID317_FILE_TYPE""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID33""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288""}","{""ImportId"":""QID289""}","{""ImportId"":""QID290""}","{""ImportId"":""QID291""}","{""ImportId"":""QID292""}","{""ImportId"":""QID243""}","{""ImportId"":""QID249""}","{""ImportId"":""QID293""}","{""ImportId"":""QID294""}","{""ImportId"":""QID295""}","{""ImportId"":""QID296""}","{""ImportId"":""QID297""}","{""ImportId"":""QID298""}","{""ImportId"":""QID299""}","{""ImportId"":""QID300""}","{""ImportId"":""QID256""}","{""ImportId"":""QID283""}","{""ImportId"":""QID301""}","{""ImportId"":""QID302""}","{""ImportId"":""QID303""}","{""ImportId"":""QID304""}","{""ImportId"":""QID305""}","{""ImportId"":""QID306""}","{""ImportId"":""QID307""}","{""ImportId"":""QID308""}","{""ImportId"":""QID269""}","{""ImportId"":""QID284""}","{""ImportId"":""QID309""}","{""ImportId"":""QID310""}","{""ImportId"":""QID311""}","{""ImportId"":""QID312""}","{""ImportId"":""QID313""}","{""ImportId"":""QID314""}","{""ImportId"":""QID315""}","{""ImportId"":""QID316""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID74_2""}","{""ImportId"":""QID74_4""}","{""ImportId"":""QID74_5""}","{""ImportId"":""QID75""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""dataset_name""}","{""ImportId"":""bb_profile_1""}","{""ImportId"":""bb_profile_2""}","{""ImportId"":""int_profile_1""}","{""ImportId"":""int_profile_2""}","{""ImportId"":""first_model""}","{""ImportId"":""bb_model""}","{""ImportId"":""int_model""}"
2021-07-07 09:34:00,2021-07-07 09:34:30,Survey Preview,,100,29,True,2021-07-07 09:34:31,R_1MNUhza0I38UuaJ,,,,,52.2483978271484375,21.002593994140625,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,2,,no_shap,dt
2021-07-07 09:39:02,2021-07-07 09:39:49,Survey Preview,,100,47,True,2021-07-07 09:39:51,R_eyNjljP4LZMmX4t,,,,,52.2483978271484375,21.002593994140625,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,int,shap,dt
2021-07-07 09:47:41,2021-07-07 09:48:46,Survey Preview,,100,65,True,2021-07-07 09:48:48,R_qJh2ZFj66305uFj,,,,,52.2483978271484375,21.002593994140625,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,1,bb,shap,dt
2021-07-07 10:13:13,2021-07-07 10:14:35,Survey Preview,,100,82,True,2021-07-07 10:14:37,R_3gLpSA3fkaQXHL9,,,,,52.2483978271484375,21.002593994140625,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pass,,,,,,,,,,,,,,,,,,,3,2,2,3,bb,shap,lr
2021-07-07 14:35:19,2021-07-07 14:46:03,Survey Preview,,100,643,True,2021-07-07 14:46:04,R_2xXYSr7FUrcg3IL,,,,,40.75030517578125,-74.00140380859375,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,bb,no_shap,dt
2021-07-07 14:58:16,2021-07-07 14:59:50,Survey Preview,,100,93,True,2021-07-07 14:59:51,R_r2AaYa1CoaN2ZYR,,,,,40.75030517578125,-74.00140380859375,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,4,bb,no_shap,lr
2021-07-07 15:01:09,2021-07-07 15:01:41,Survey Preview,,100,31,True,2021-07-07 15:01:42,R_u9WamTpEzDatyq5,,,,,40.75030517578125,-74.00140380859375,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,3,int,no_shap,dt
2021-07-07 15:02:16,2021-07-07 15:02:51,Survey Preview,,100,35,True,2021-07-07 15:02:52,R_2xJBhd0jA22kIPe,,,,,40.75030517578125,-74.00140380859375,preview,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,4,int,shap,dt
